id,mountain_id,tag_id
1,1,1
2,1,2
3,1,3
4,1,4
5,2,1
6,2,3
7,2,4
8,3,1
9,3,3
10,3,4
11,4,1
12,4,2
13,4,3
14,5,1
15,5,2
16,5,3
17,5,4
18,5,5
19,6,1
20,7,1
21,7,3
22,8,1
23,9,1
24,9,2
25,10,1
26,10,2
27,10,5
28,11,1
29,11,2
30,12,1
31,12,3
32,12,4
33,13,1
34,13,2
35,13,5
36,14,1
37,14,2
38,14,3
39,14,4
40,15,1
41,15,2
42,15,3
43,15,4
44,15,5
45,16,1
46,16,2
47,16,3
48,16,4
49,17,1
50,17,2
51,18,1
52,18,2
53,19,1
54,20,1
55,20,2
56,21,1
57,21,2
58,21,3
59,22,1
60,22,2
61,23,1
62,23,4
63,24,1
64,25,1
65,25,2
66,26,1
67,26,4
68,26,5
69,27,1
70,27,3
71,28,1
72,29,1
73,29,4
74,30,1
75,30,2
76,31,1
77,31,4
78,31,5
79,32,1
80,33,1
81,34,1
82,34,2
83,34,4
84,35,1
85,36,1
86,36,2
87,37,1
88,37,3
89,38,1
90,38,2
91,39,1
92,39,2
93,40,1
94,40,3
95,41,1
96,42,1
97,43,1
98,43,2
99,44,1
100,44,3
101,45,1
102,45,2
103,45,4
104,46,1
105,46,4
106,47,1
107,47,2
108,47,3
109,48,1
110,49,1
111,49,2
112,49,3
113,49,4
114,49,5
115,50,1
116,50,4
117,51,1
118,52,1
119,52,2
120,52,5
121,52,6
122,53,1
123,53,2
124,53,3
125,54,1
126,54,2
127,54,3
128,54,4
129,55,1
130,56,1
131,56,3
132,56,4
133,57,1
134,57,2
135,58,1
136,58,2
137,58,3
138,58,5
139,58,6
140,59,1
141,59,3
142,60,1
143,60,3
144,61,1
145,62,1
146,63,1
147,63,2
148,63,3
149,63,6
150,64,1
151,64,2
152,64,3
153,64,5
154,64,6
155,65,1
156,66,1
157,66,4
158,67,1
159,68,1
160,68,2
161,68,6
162,69,1
163,70,1
164,70,2
165,70,3
166,71,1
167,71,4
168,72,1
169,72,2
170,73,1
171,73,2
172,73,3
173,73,6
174,74,1
175,74,2
176,74,3
177,75,1
178,76,1
179,76,4
180,77,1
181,77,2
182,77,4
183,78,1
184,78,2
185,78,3
186,78,4
187,78,6
188,79,1
189,79,2
190,79,4
191,80,1
192,80,4
193,80,6
194,81,1
195,81,6
196,82,1
197,82,2
198,82,6
199,83,1
200,83,6
201,84,1
202,84,2
203,84,6
204,85,1
205,85,6
206,86,1
207,87,1
208,87,2
209,87,3
210,87,4
211,87,5
212,88,1
213,88,2
214,89,1
215,89,4
216,89,5
217,90,1
218,90,2
219,90,3
220,90,5
221,91,1
222,91,5
223,92,1
224,92,2
225,92,3
226,92,4
227,92,5
228,93,1
229,93,2
230,93,3
231,93,5
232,94,1
233,94,2
234,94,3
235,94,4
236,94,5
237,95,1
238,95,2
239,95,3
240,96,1
241,96,2
242,96,3
243,96,5
244,97,1
245,97,2
246,98,1
247,98,3
248,98,4
249,99,1
250,99,2
251,99,4
252,100,1
253,100,5